,train2 acc,val_acc
"{'n_estimators': 200, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.9932177844762623,0.8835164835164835
"{'n_estimators': 100, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'criterion': 'entropy'}",0.9983044461190655,0.88
"{'n_estimators': 500, 'max_features': 'log2', 'min_samples_leaf': 2, 'criterion': 'gini'}",0.9994348153730218,0.8786813186813187
"{'n_estimators': 100, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'criterion': 'entropy'}",0.9990580256217031,0.8778021978021978
"{'n_estimators': 100, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'criterion': 'gini'}",0.9930293896006028,0.876043956043956
"{'n_estimators': 100, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'criterion': 'gini'}",0.9998116051243406,0.8742857142857143
"{'n_estimators': 500, 'max_features': 'log2', 'min_samples_leaf': 10, 'criterion': 'gini'}",0.9981160512434062,0.8729670329670329
"{'n_estimators': 100, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.9998116051243406,0.8725274725274725
"{'n_estimators': 500, 'max_features': 'log2', 'min_samples_leaf': 5, 'criterion': 'gini'}",0.9986812358703844,0.8725274725274725
"{'n_estimators': 100, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.9902034664657121,0.8716483516483516
"{'n_estimators': 500, 'max_features': 'log2', 'min_samples_leaf': 5, 'criterion': 'entropy'}",0.9992464204973625,0.8694505494505494
"{'n_estimators': 500, 'max_features': 'log2', 'min_samples_leaf': 10, 'criterion': 'entropy'}",0.9977392614920875,0.8672527472527473
"{'n_estimators': 50, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'criterion': 'entropy'}",0.997550866616428,0.8589010989010989
"{'n_estimators': 500, 'max_features': 'log2', 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.9996232102486813,0.8584615384615385
"{'n_estimators': 500, 'max_features': 'log2', 'min_samples_leaf': 20, 'criterion': 'gini'}",0.9937829691032404,0.8558241758241758
"{'n_estimators': 50, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'criterion': 'gini'}",0.9994348153730218,0.850989010989011
"{'n_estimators': 200, 'max_features': 'log2', 'min_samples_leaf': 5, 'criterion': 'gini'}",0.9992464204973625,0.8505494505494505
"{'n_estimators': 200, 'max_features': 'log2', 'min_samples_leaf': 10, 'criterion': 'entropy'}",0.9979276563677468,0.8501098901098901
"{'n_estimators': 50, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'criterion': 'gini'}",0.9998116051243406,0.8487912087912088
"{'n_estimators': 200, 'max_features': 'log2', 'min_samples_leaf': 5, 'criterion': 'entropy'}",0.9992464204973625,0.8483516483516483
"{'n_estimators': 50, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'criterion': 'gini'}",0.9879427279577996,0.847032967032967
"{'n_estimators': 200, 'max_features': 'log2', 'min_samples_leaf': 10, 'criterion': 'gini'}",0.997550866616428,0.8465934065934065
"{'n_estimators': 200, 'max_features': 'log2', 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.9996232102486813,0.8457142857142858
"{'n_estimators': 50, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'criterion': 'entropy'}",0.9990580256217031,0.8421978021978022
"{'n_estimators': 50, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.982290881688018,0.8421978021978022
"{'n_estimators': 500, 'max_features': 'log2', 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.9947249434815373,0.8417582417582418
"{'n_estimators': 50, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'criterion': 'gini'}",0.9971740768651093,0.8417582417582418
"{'n_estimators': 200, 'max_features': 'log2', 'min_samples_leaf': 2, 'criterion': 'gini'}",0.9996232102486813,0.8391208791208791
"{'n_estimators': 200, 'max_features': 'log2', 'min_samples_leaf': 20, 'criterion': 'gini'}",0.9913338357196684,0.8378021978021978
"{'n_estimators': 50, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.9996232102486813,0.8356043956043956
"{'n_estimators': 200, 'max_features': 'log2', 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.9937829691032404,0.8241758241758241
"{'n_estimators': 100, 'max_features': 'log2', 'min_samples_leaf': 10, 'criterion': 'gini'}",0.9977392614920875,0.8171428571428572
"{'n_estimators': 100, 'max_features': 'log2', 'min_samples_leaf': 10, 'criterion': 'entropy'}",0.9971740768651093,0.8145054945054945
"{'n_estimators': 100, 'max_features': 'log2', 'min_samples_leaf': 5, 'criterion': 'gini'}",0.9994348153730218,0.8140659340659341
"{'n_estimators': 100, 'max_features': 'log2', 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.9892614920874152,0.8118681318681319
"{'n_estimators': 100, 'max_features': 'log2', 'min_samples_leaf': 20, 'criterion': 'gini'}",0.987189148455162,0.8043956043956044
"{'n_estimators': 100, 'max_features': 'log2', 'min_samples_leaf': 5, 'criterion': 'entropy'}",0.9994348153730218,0.8035164835164835
"{'n_estimators': 100, 'max_features': 'log2', 'min_samples_leaf': 2, 'criterion': 'gini'}",0.9994348153730218,0.8004395604395604
"{'n_estimators': 100, 'max_features': 'log2', 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.9994348153730218,0.7907692307692308
"{'n_estimators': 50, 'max_features': 'log2', 'min_samples_leaf': 20, 'criterion': 'entropy'}",0.9740015071590052,0.7767032967032967
"{'n_estimators': 50, 'max_features': 'log2', 'min_samples_leaf': 5, 'criterion': 'gini'}",0.9984928409947249,0.7621978021978022
"{'n_estimators': 50, 'max_features': 'log2', 'min_samples_leaf': 10, 'criterion': 'gini'}",0.9939713639788997,0.7613186813186813
"{'n_estimators': 50, 'max_features': 'log2', 'min_samples_leaf': 10, 'criterion': 'entropy'}",0.9954785229841748,0.7604395604395604
"{'n_estimators': 50, 'max_features': 'log2', 'min_samples_leaf': 5, 'criterion': 'entropy'}",0.9994348153730218,0.7573626373626373
"{'n_estimators': 50, 'max_features': 'log2', 'min_samples_leaf': 20, 'criterion': 'gini'}",0.9721175584024114,0.7507692307692307
"{'n_estimators': 50, 'max_features': 'log2', 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.9996232102486813,0.7472527472527473
"{'n_estimators': 50, 'max_features': 'log2', 'min_samples_leaf': 2, 'criterion': 'gini'}",0.9998116051243406,0.730989010989011
